Co,O,Ni,Gd
21565,2501,37819,90
22060,2560,37821,74
22554,2617,37823,68
23063,2710,37804,74
23345,2689,37902,76
23333,2512,38139,72
23365,2364,38371,71
23367,2213,38610,70
23397,2040,38819,71
23413,1904,39036,74
23431,1728,39272,78
23447,1577,39506,87
23448,1433,39724,92
23480,1285,39964,101
23498,1151,40193,110
23739,1183,40278,112
24259,1333,40263,110
24738,1510,40246,111
25245,1700,40232,119
25706,1871,40215,120
26198,2066,40210,126
26704,2253,40181,137
27141,2436,40170,156
27652,2615,40142,176
28155,2825,40142,197
28621,2991,40140,221
28956,3064,40082,213
29181,3126,40016,193
29388,3196,39957,177
29601,3247,39887,162
29830,3314,39849,148
30054,3392,39782,138
30248,3462,39716,122
30484,3541,39671,118
30702,3627,39609,107
30911,3713,39544,105
31154,3810,39484,117
31436,3857,39247,115
31770,3988,38998,105
32084,4144,38698,98
32441,4296,38400,81
32763,4453,38093,89
33058,4600,37823,88
33394,4755,37530,87
33735,4932,37234,104
34036,5080,36990,110
34397,5246,36689,124
34719,5451,36393,141
34828,5398,36627,134
34866,5287,37106,117
34886,5196,37563,100
34910,5085,37997,86
34952,4993,38476,70
34982,4889,38959,66
35008,4811,39448,65
35027,4719,39868,65
35077,4640,40350,72
35108,4556,40818,76
35137,4518,41249,82
35351,4557,41171,77
35638,4665,40942,68
35908,4781,40692,58
36203,4900,40445,43
36497,5024,40186,36
36783,5136,39939,30
37045,5261,39711,30
37342,5389,39456,25
37648,5527,39178,26
37904,5650,38963,30
38183,5807,38699,36
38265,5823,38635,33
38283,5868,38608,29
38295,5893,38591,24
38320,5943,38552,17
38327,5998,38524,13
38365,6037,38504,7
38379,6109,38465,6
38415,6151,38462,6
38418,6198,38436,7
38430,6279,38413,9
38446,6404,38375,10
38382,6302,38489,9
38307,6247,38634,8
38232,6207,38780,6
38160,6171,38900,4
38067,6150,39035,5
37969,6122,39179,8
37904,6100,39297,10
37813,6060,39442,12
37761,6032,39590,19
37685,6023,39718,23
37598,6039,39851,28
37713,6207,39790,24
37845,6444,39748,19
37956,6671,39689,15
38100,6909,39621,10
38218,7177,39561,8
38342,7400,39525,4
38476,7660,39444,0
38609,7920,39401,0
38734,8134,39344,1
38877,8399,39298,4
39020,8731,39234,17
38983,8670,39243,4
38988,8731,39245,2
38958,8812,39248,3
38964,8861,39257,8
38940,8933,39243,13
38924,8985,39258,25
38932,9078,39270,33
38920,9127,39269,40
38918,9182,39267,54
38888,9272,39277,63
38925,9407,39293,70
38672,9598,39240,62
38442,9850,39215,51
38241,10114,39158,38
38049,10379,39124,30
37805,10654,39083,25
37596,10909,39032,17
37381,11146,38993,14
37160,11427,38966,10
36940,11719,38917,13
36752,11971,38890,16
36550,12274,38883,18
36686,12082,39207,15
36791,11959,39495,12
36915,11819,39839,10
37053,11678,40177,8
37166,11564,40488,6
37298,11435,40791,3
37410,11309,41123,0
37540,11163,41451,0
37645,11047,41768,0
37771,10943,42094,0
37938,10896,42270,0
38243,11205,41738,0
38546,11566,41163,0
38896,11943,40585,0
39187,12269,40033,0
39507,12606,39458,1
39828,12986,38886,7
40161,13365,38282,12
40472,13700,37784,16
40788,14062,37182,19
41115,14430,36610,22
41297,14670,36221,25
40937,14124,36530,21
40576,13628,36828,20
40233,13180,37112,21
39867,12682,37437,19
39500,12180,37724,15
39153,11739,38001,15
38782,11248,38306,18
38414,10759,38619,20
38060,10270,38923,21
37733,9838,39201,24
37558,9630,39370,26
37991,9902,39094,23
38385,10221,38839,22
38798,10532,38569,25
39239,10866,38286,25
39622,11171,38026,28
40059,11507,37767,30
40466,11848,37501,30
40852,12162,37243,34
41301,12486,36968,39
41708,12822,36684,43
41996,13280,36543,45
41969,13967,36553,40
41907,14709,36622,36
41901,15476,36664,28
41871,16162,36718,23
41819,16938,36756,16
41788,17686,36798,11
41773,18402,36849,9
41720,19164,36903,5
41693,19931,36952,0
41676,20689,36992,0
41568,21158,37005,0
41293,21234,36957,0
41030,21290,36908,4
40795,21352,36841,11
40507,21431,36786,20
40275,21503,36737,30
40023,21536,36689,37
39754,21617,36635,46
39496,21677,36573,56
39262,21765,36529,63
38997,21809,36489,75
38930,21953,36573,77
39095,22129,36932,64
39270,22313,37249,58
39459,22487,37586,48
39651,22676,37931,39
39812,22845,38244,30
39971,23046,38582,22
40179,23232,38913,12
40362,23405,39234,5
40549,23608,39575,0
40721,23784,39905,0
40793,23864,40025,0
40799,23782,39881,0
40782,23722,39744,0
40764,23656,39578,0
40729,23611,39439,0
40755,23544,39293,0
40730,23467,39137,0
40720,23420,39007,1
40713,23372,38851,4
40695,23293,38688,6
40684,23250,38576,7
40484,23154,38494,7
40083,23023,38482,6
39746,22881,38456,4
39361,22745,38433,5
38962,22606,38413,13
38574,22488,38394,20
38214,22375,38375,27
37835,22217,38350,38
37441,22098,38324,47
37103,21970,38316,51
36702,21844,38307,64
36721,22124,38207,63
36989,22634,38068,49
37289,23170,37953,48
37599,23717,37804,45
37866,24219,37672,37
38166,24774,37519,34
38468,25317,37399,38
38764,25896,37229,35
39032,26368,37111,40
39331,26938,36965,45
39635,27481,36826,51
39669,27825,36886,51
39608,28132,37069,45
39529,28444,37248,38
39465,28719,37421,36
39389,29025,37588,30
39304,29309,37787,26
39241,29589,37958,25
39177,29903,38116,23
39092,30208,38312,18
39016,30515,38489,20
38947,30780,38655,20
39170,30864,38441,19
39526,30802,38014,17
39883,30767,37627,17
40257,30683,37204,14
40606,30659,36783,11
40986,30587,36402,8
41323,30531,35984,8
41707,30476,35555,8
42083,30412,35146,7
42405,30369,34749,6
42783,30310,34327,8
42359,29952,34464,5
41735,29553,34776,2
41041,29142,35120,0
40336,28707,35441,0
39695,28318,35754,0
39013,27912,36080,0
38309,27471,36432,0
37691,27078,36725,0
36968,26647,37061,0
