Co,Si,Pt,O,Ni,Gd,Al
580,0,0,3828,75,4986,43
564,0,0,3912,93,4945,36
543,0,0,4009,114,4919,28
531,0,0,4099,139,4887,21
521,0,0,4188,165,4854,16
508,0,0,4268,192,4809,10
503,0,0,4351,219,4784,7
486,0,0,4439,242,4760,0
475,0,0,4540,276,4727,0
473,0,0,4615,306,4686,0
490,0,0,4600,328,4681,0
534,0,0,4554,419,4693,0
593,0,0,4517,535,4691,0
641,0,0,4479,648,4687,0
694,0,0,4419,763,4687,0
740,0,0,4371,865,4696,0
794,0,0,4334,980,4689,0
851,0,0,4298,1100,4689,0
910,0,0,4242,1203,4693,0
969,0,0,4199,1327,4689,0
1065,0,0,4173,1439,4696,0
1208,0,0,4165,1362,4650,0
1432,0,0,4173,1290,4585,11
1653,0,0,4185,1217,4539,22
1868,0,0,4205,1145,4477,37
2103,0,0,4208,1073,4414,53
2301,0,0,4213,1012,4364,65
2536,0,0,4225,944,4311,81
2757,0,0,4241,875,4258,94
2988,0,0,4248,809,4204,109
3220,0,0,4256,746,4153,123
3396,0,0,4264,743,4090,137
3267,0,0,4107,955,4036,122
3178,0,0,3956,1227,3971,106
3093,0,0,3814,1504,3932,91
3001,0,0,3646,1793,3871,77
2915,0,0,3496,2070,3812,61
2841,0,0,3357,2324,3764,48
2759,0,0,3201,2593,3694,33
2671,0,0,3042,2880,3657,20
2592,0,0,2890,3156,3589,9
2503,0,0,2731,3436,3529,0
2506,0,0,2605,3681,3486,0
2689,0,0,2492,3909,3414,0
2893,0,0,2350,4117,3356,0
3102,0,0,2245,4331,3301,0
3325,0,0,2115,4569,3234,0
3496,0,0,2018,4772,3176,0
3687,0,0,1890,4994,3115,0
3903,0,0,1759,5203,3052,0
4098,0,0,1651,5431,2995,0
4310,0,0,1523,5645,2927,0
4506,0,0,1414,5845,2881,0
4683,0,0,1382,6124,2769,0
4898,0,16,1446,6475,2630,0
5120,0,45,1496,6818,2484,0
5330,0,73,1561,7163,2339,0
5535,0,97,1630,7493,2211,0
5741,0,122,1697,7811,2069,0
5955,0,151,1767,8147,1929,0
6176,0,177,1825,8490,1781,0
6384,0,203,1897,8846,1641,0
6598,0,231,1960,9176,1502,0
6801,0,256,2021,9498,1363,0
6990,0,251,2050,9770,1280,0
7207,0,224,2043,10007,1205,0
7417,0,198,2040,10237,1131,0
7619,0,171,2042,10468,1068,0
7816,0,148,2050,10673,1004,0
8021,0,120,2053,10920,925,0
8237,0,95,2044,11141,855,0
8441,0,69,2046,11369,798,0
8663,0,40,2044,11603,710,0
8847,0,13,2048,11813,671,0
9068,0,0,2072,12046,608,0
9580,0,0,2081,12105,549,0
10183,0,0,2103,12092,502,0
10796,0,0,2130,12085,446,0
11414,0,0,2162,12064,387,0
11984,0,0,2172,12057,356,0
12599,0,0,2214,12053,300,0
13221,0,0,2245,12031,241,0
13837,0,0,2274,12024,192,0
14454,0,0,2306,12019,136,0
15026,0,0,2325,12011,105,0
15637,0,0,2364,12004,91,0
15467,0,0,2468,12116,88,0
15226,0,16,2588,12233,89,0
14991,0,37,2728,12368,90,0
14763,0,56,2830,12472,90,0
14516,0,75,2953,12604,94,0
14279,0,94,3081,12733,95,0
14021,0,114,3209,12853,94,0
13795,0,134,3340,12993,99,0
13552,0,155,3455,13112,100,0
13336,0,174,3577,13222,112,0
13114,0,185,3723,13352,117,0
13252,0,217,4023,13459,100,0
13389,0,309,4327,13560,94,0
13521,0,405,4644,13667,82,0
13649,0,485,4934,13757,72,0
13766,0,577,5254,13875,60,0
13929,0,671,5549,13976,47,0
14057,0,765,5866,14069,36,0
14187,0,858,6179,14181,24,0
14321,0,943,6465,14274,16,0
14447,0,1040,6786,14376,7,0
14563,0,1097,7046,14515,7,0
14571,0,1188,7149,14721,6,0
14597,0,1264,7262,14930,1,0
14600,0,1341,7356,15118,0,0
14629,0,1428,7454,15335,0,0
14641,0,1525,7582,15534,0,0
14659,0,1613,7675,15755,0,0
14676,0,1693,7794,15955,0,0
14689,0,1784,7892,16171,0,0
14719,0,1866,7998,16364,0,0
14732,0,1971,8108,16564,0,0
14717,0,2006,8126,16634,0,0
14645,0,1888,8035,16537,0,0
14575,0,1791,7920,16436,0,0
14519,0,1708,7814,16349,0,0
14461,0,1621,7727,16243,0,0
14378,0,1533,7620,16140,0,0
14313,0,1426,7514,16053,1,0
14263,0,1324,7397,15934,4,0
14196,0,1249,7311,15841,6,0
14126,0,1155,7201,15735,7,0
14063,0,1055,7107,15644,9,0
13857,0,1103,7156,15677,9,0
13581,0,1255,7317,15801,7,0
13280,0,1409,7491,15930,5,0
13015,0,1529,7645,16047,3,0
12726,0,1686,7815,16180,1,0
12425,0,1831,7994,16298,0,0
12140,0,1979,8165,16414,0,0
11845,0,2132,8326,16544,0,0
11583,0,2256,8485,16656,0,0
11298,0,2414,8666,16786,0,0
10997,0,2598,8834,16910,0,0
11052,0,2564,8800,16969,0,0
11188,0,2568,8693,17031,0,0
11357,0,2568,8602,17062,0,0
11506,0,2577,8491,17091,0,0
11678,0,2587,8395,17134,0,0
11831,0,2601,8292,17176,0,0
11994,0,2617,8188,17205,0,0
12147,0,2625,8100,17240,0,0
12304,0,2648,7993,17286,0,0
12468,0,2642,7883,17326,0,0
12634,0,2695,7785,17371,0,0
12749,0,2579,7876,17281,0,0
12860,0,2471,7990,17216,0,0
12961,0,2379,8093,17131,0,0
13079,0,2274,8204,17050,0,0
13187,0,2156,8320,16967,0,0
13295,0,2052,8436,16896,0,0
13406,0,1955,8544,16805,0,0
13509,0,1863,8641,16728,0,0
13617,0,1755,8744,16639,0,0
13736,0,1663,8871,16565,0,0
13812,0,1628,8964,16494,0,0
13584,0,1802,8905,16492,0,0
13362,0,1975,8862,16491,0,0
13121,0,2159,8804,16471,0,0
12893,0,2340,8738,16486,0,0
12649,0,2523,8673,16480,0,0
12408,0,2718,8616,16474,0,0
12183,0,2904,8564,16477,0,0
11948,0,3080,8509,16468,0,0
11706,0,3274,8451,16468,0,0
11474,0,3458,8389,16471,0,0
11294,0,3584,8345,16468,0,0
11250,0,3300,8315,16504,0,0
11209,0,3047,8286,16539,0,0
11171,0,2786,8255,16569,0,0
11113,0,2501,8232,16614,2,0
11086,0,2231,8200,16644,6,0
11039,0,1968,8176,16680,9,0
11000,0,1714,8147,16705,10,0
10973,0,1440,8108,16747,14,0
10903,0,1178,8074,16770,17,0
10878,0,916,8052,16807,20,0
10938,0,761,8038,16772,20,0
11154,0,715,8060,16650,17,0
11389,0,698,8087,16529,14,0
11633,0,671,8107,16383,11,0
11869,0,654,8130,16253,9,0
12106,0,639,8143,16123,7,0
12333,0,614,8161,15994,3,0
12553,0,601,8187,15875,0,0
12795,0,596,8209,15738,0,0
13037,0,569,8233,15613,0,0
13265,0,561,8245,15481,0,0
13352,0,609,8286,15471,0,0
13328,0,718,8328,15555,0,0
13306,0,843,8379,15649,0,0
13280,0,979,8432,15731,0,0
13261,0,1107,8492,15825,0,0
13231,0,1235,8541,15914,0,0
13220,0,1355,8584,15993,0,0
13190,0,1495,8644,16088,0,0
13177,0,1634,8684,16178,0,0
13153,0,1765,8730,16266,0,0
13124,0,1907,8779,16341,0,0
13253,0,1855,8834,16307,0,0
13441,0,1706,8894,16211,0,0
13643,0,1569,8959,16128,0,0
13839,0,1430,9028,16028,0,0
